date,ticker,close
2025-04-24,2330.TW,780.0
2025-04-25,2330.TW,787.65
2025-04-28,2330.TW,794.0
2025-04-29,2330.TW,813.85
2025-04-30,2330.TW,812.14
2025-05-01,2330.TW,820.11
2025-05-02,2330.TW,837.34
2025-05-05,2330.TW,813.41
2025-05-06,2330.TW,830.65
2025-05-07,2330.TW,871.21
2025-05-08,2330.TW,869.89
2025-05-09,2330.TW,879.33
2025-05-12,2330.TW,901.34
2025-05-13,2330.TW,903.47
2025-05-14,2330.TW,909.26
2025-05-15,2330.TW,899.68
2025-05-16,2330.TW,914.69
2025-05-19,2330.TW,920.89
2025-05-20,2330.TW,926.63
2025-05-21,2330.TW,932.44
2025-05-22,2330.TW,936.51
2025-05-23,2330.TW,964.53
2025-05-26,2330.TW,937.09
2025-05-27,2330.TW,918.41
2025-05-28,2330.TW,927.68
2025-05-29,2330.TW,933.76
2025-05-30,2330.TW,936.58
2025-06-02,2330.TW,923.98
2025-06-03,2330.TW,918.0
2025-06-04,2330.TW,903.6
2025-06-05,2330.TW,886.05
2025-06-06,2330.TW,885.96
2025-06-09,2330.TW,863.39
2025-06-10,2330.TW,887.6
2025-06-11,2330.TW,916.8
2025-06-12,2330.TW,918.25
2025-06-13,2330.TW,920.37
2025-06-16,2330.TW,933.92
2025-06-17,2330.TW,945.56
2025-06-18,2330.TW,928.82
2025-06-19,2330.TW,927.57
2025-06-20,2330.TW,919.43
2025-06-23,2330.TW,899.44
2025-06-24,2330.TW,915.43
2025-06-25,2330.TW,930.35
2025-06-26,2330.TW,911.89
2025-06-27,2330.TW,903.13
2025-06-30,2330.TW,908.0
2025-07-01,2330.TW,931.55
2025-07-02,2330.TW,929.27
2025-07-03,2330.TW,943.55
2025-07-04,2330.TW,963.46
2025-07-07,2330.TW,980.81
2025-07-08,2330.TW,971.56
2025-07-09,2330.TW,943.32
2025-07-10,2330.TW,936.02
2025-07-11,2330.TW,975.77
2025-07-14,2330.TW,963.06
2025-07-15,2330.TW,975.11
2025-07-16,2330.TW,987.86
2025-07-17,2330.TW,970.28
2025-07-18,2330.TW,964.17
2025-07-21,2330.TW,976.52
2025-07-22,2330.TW,980.03
2025-07-23,2330.TW,990.95
2025-07-24,2330.TW,994.46
2025-07-25,2330.TW,990.68
2025-07-28,2330.TW,964.03
2025-07-29,2330.TW,974.68
2025-07-30,2330.TW,952.07
2025-07-31,2330.TW,943.94
2025-08-01,2330.TW,950.87
2025-08-04,2330.TW,942.33
2025-08-05,2330.TW,941.41
2025-08-06,2330.TW,932.89
2025-08-07,2330.TW,916.29
2025-08-08,2330.TW,910.53
2025-08-11,2330.TW,883.65
2025-08-12,2330.TW,911.39
2025-08-13,2330.TW,904.63
2025-08-14,2330.TW,904.24
2025-08-15,2330.TW,896.83
2025-08-18,2330.TW,905.03
2025-08-19,2330.TW,905.97
2025-08-20,2330.TW,917.31
2025-08-21,2330.TW,891.6
2025-08-22,2330.TW,906.05
2025-08-25,2330.TW,882.09
2025-08-26,2330.TW,895.26
2025-08-27,2330.TW,896.75
2025-08-28,2330.TW,881.96
2025-08-29,2330.TW,883.06
2025-09-01,2330.TW,892.27
2025-09-02,2330.TW,915.39
2025-09-03,2330.TW,924.82
2025-09-04,2330.TW,899.14
2025-09-05,2330.TW,888.53
2025-09-08,2330.TW,909.64
2025-09-09,2330.TW,911.14
2025-09-10,2330.TW,909.92
