date,ticker,roe,roa,pb,pe,debt_ratio,eps
2025-04-30,2330.TW,0.24917970741692375,0.14550885297857186,4.3503629496122445,20.530328716300595,0.3,6.151678912644583
2025-04-30,2454.TW,0.2310813665930611,0.14997197869192802,4.461650366106577,21.876219435026364,0.3,5.974039118024574
2025-04-30,2308.TW,0.23545482653309938,0.15447051959024188,4.527736283900191,21.68496029752948,0.3,6.083492672324334
2025-04-30,2881.TW,0.11031390401315158,0.005609117127714678,1.147293812862198,13.78730898659008,0.85,1.3798647243797686
2025-04-30,2882.TW,0.1060983504404101,0.006783595087651099,1.0562566828180748,13.182851506562072,0.85,1.1591844390956172
2025-04-30,2891.TW,0.10747690659667235,0.01267317087909808,1.151617901098615,13.899318123794423,0.85,1.0314387368784348
2025-04-30,1301.TW,0.10487698386823716,0.059006329081099144,1.602624014069625,15.867132192202613,0.45,2.367319194811551
2025-04-30,1303.TW,0.10279175899782576,0.06440632211390294,1.7749684769608098,16.389427871278276,0.45,2.5046319796246914
2025-04-30,2002.TW,0.1080868293029062,0.06493264584050716,1.6170685117980519,16.1926849557545,0.45,2.539869892752522
2025-04-30,2317.TW,0.09441372631412548,0.05951801628305503,1.6894609712298054,14.779001115164231,0.45,2.3523809155823368
2025-05-31,2330.TW,0.24840686112375016,0.14532812774993495,4.58609180246571,21.52147248005001,0.3,6.051273311608459
2025-05-31,2454.TW,0.2314040930455202,0.15171478882766723,4.491679965949811,21.104022754387493,0.3,5.976442602661671
2025-05-31,2308.TW,0.230598008406956,0.15461268688680505,4.636358277448517,20.98387829309193,0.3,6.19253479597039
2025-05-31,2881.TW,0.1185062212246883,0.011218314029289772,1.3473591049720057,12.61315725857733,0.85,1.2570840647877928
2025-05-31,2882.TW,0.112852907801317,0.011898777685820133,1.2411469113127662,13.99630069771425,0.85,1.0803501103119204
2025-05-31,2891.TW,0.11068244174972047,0.0057932983222658075,1.2429260322773998,14.050135215187662,0.85,1.0542746558136364
2025-05-31,1301.TW,0.10294556803776747,0.05840004019407169,1.5195429592625993,15.540577644381605,0.45,2.339146362414179
2025-05-31,1303.TW,0.09146748001207053,0.06330260963301582,1.7272669220060577,15.817173417280417,0.45,2.460362877867321
2025-05-31,2002.TW,0.09451000789807733,0.06261111833466744,1.6909444170831232,16.42342457927525,0.45,2.350974179415174
2025-05-31,2317.TW,0.10658799308663683,0.06377110784375149,1.6253318314064278,13.740021063649468,0.45,2.410444310224353
2025-06-30,2330.TW,0.24452881399011392,0.1545778240598208,4.336844153819509,21.182414316957747,0.3,6.072803006535632
2025-06-30,2454.TW,0.2393216629779532,0.1547968687959396,4.661712530724666,22.62290086755986,0.3,5.810175205578789
2025-06-30,2308.TW,0.23213280150515192,0.1522436352251892,4.623951458226174,22.256061393788432,0.3,5.991992727083932
2025-06-30,2881.TW,0.1036425023099224,0.008045394011919326,1.0529835118845432,12.171635319606409,0.85,1.1257345621905035
